"#OG id"	"OG name"	"uberon mapping status"	"entity"	"entity name"	"qualifier"	"HOM ID"	"reference"	"ECO ID"	"ECO name"	"CIO ID"	"confidence  code name"	"taxon ID"	"taxon name"	"supporting text"	"assigned by"	"curator"	"date"	"comment"																																																																					
"//"	"Historical homology, not classified in systems"																																																																																						
"OG:0001592"	"basal lamina"	"ok 1X"	"UBERON:0000482"	"basal lamina"		"HOM:0000007"	"ISBN:978-0198566694 ""Schmidt-Rhaesa A, The evolution of organ systems (2007) p.57"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000003"	"High confidence assertion"	33213	"Bilateria"	"A basal lamina is certainly present in Bilateria and was evaluated as an autapomorphy of this taxon."	"bgee"	"ANN"	"2013-07-03"																																																																						
"OG:0001532"	"ciliated cell"	"ok 1X"	"CL:0000064"	"ciliated cell"		"HOM:0000007"	"DOI:10.1016/S0070-2153(08)00806-5 ""Basu B, Brueckner M, Cilia multifunctional organelles at the center of vertebrate left-right asymetry. Current topics in developmental biology (2008)"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000004"	"Medium confidence assertion"	7742	"Vertebrata"	"Cilia establish the vertebrate left-right (LR) axis and are integral to the development and function of the kidney, liver, and brain. Left-right asymmetry is established in the ciliated ventral node cells of the mouse. The chiral structure of the cilium provides a reference asymmetry to impose handed LR asymmetric development on the bilaterally symmetric vertebrate embryo. A ciliary mechanism of LR development is evolutionarily conserved, as ciliated organs essential to LR axis formation, called LR organizers, are found in other vertebrates, including rabbit, fish, and Xenopus."	"bgee"	"ANN"	"2013-07-03"																																																																						
"OG:0001532"	"ciliated cell"	"ok 1X"	"CL:0000064"	"ciliated cell"		"HOM:0000007"	"DOI:10.1016/S0070-2153(08)00806-5 ""Basu B, Brueckner M, Cilia multifunctional organelles at the center of vertebrate left-right asymetry. Current topics in developmental biology (2008)"""	"ECO:0000067"	"developmental similarity evidence"	"CIO:0000004"	"Medium confidence assertion"	7742	"Vertebrata"	"Cilia establish the vertebrate left-right (LR) axis and are integral to the development and function of the kidney, liver, and brain. Left-right asymmetry is established in the ciliated ventral node cells of the mouse. The chiral structure of the cilium provides a reference asymmetry to impose handed LR asymmetric development on the bilaterally symmetric vertebrate embryo. A ciliary mechanism of LR development is evolutionarily conserved, as ciliated organs essential to LR axis formation, called LR organizers, are found in other vertebrates, including rabbit, fish, and Xenopus."	"bgee"	"ANN"	"2013-07-03"																																																																						
"OG:0001572"	"fovea"	"ok 1X"	"UBERON:0001786"	"fovea centralis"		"HOM:0000007"	"PMID:11193946 ""Azuma N, Molecular cell biology on morphogenesis of the fovea and evolution of the central vision. Nihon Ganka Gakkai Zasshi (2000)"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000005"	"Low confidence assertion"	7742	"Vertebrata"	"The fovea first appeared in evolution in the temporal retina of fishes. Then, in birds, the nasal fovea and bifoveal system with nasal and temporal foveas developed. The fovea disappeared in primitive mammals, and reappeared in primates. A residue of the fovea is conserved in the visual streak, and the disappearance and reappearance of the fovea, in primitive mammals and primates respectively, correlates with degeneration and restoration of cone pigment genes in photoreceptors."	"bgee"	"ANN"	"2013-06-20"																																																																						
"OG:0001572"	"fovea"	"ok 1X"	"UBERON:0001786"	"fovea centralis"		"HOM:0000007"	"DOI:10.1016/S1350-9462(00)00012-4 ""Ahnelt PK, Kolb H, The mammalian photoreceptor mosaic-adaptive design. Progress in Retinal and Eye Research (2000)"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000005"	"Low confidence assertion"	40674	"Mammalia"	"Many retinal features (foveas, trichromacy, midget pathways and associated cell types) appear specific to primates. This has led to investigations in parallel with other mammalian models such as cat or rabbit. Correlation of the results often proves to be difficult, since an evolutionary scenario with transitions between the mammalian models is largely lacking."	"bgee"	"ANN"	"2013-06-20"																																																																						
"OG:0000778"	"pericardial visceral mesothelium"	"ok 1X"	"UBERON:0007186"	"pericardial visceral mesothelium"		"HOM:0000007"	"DOI:10.1152/ajpheart.00967.2007 ""Joebsis PD, Ashikaga H, Wen H, Rothstein EC, Horvath KA, McVeigh ER, Balaban RS, The visceral pericardium: macromolecular structure and contribution to passive mechanical properties of the left ventricle. American journal of physiology, Heart and circulatory physiology (2007)"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000004"	"Medium confidence assertion"	7742	"Vertebrata"	"Found in all vertebrates, the VP (visceral pericardium) is also known as the cardiac epimysium. This outermost layer of the epicardium consists of a thin layer of mesothelial cells over a dense network of collagen and elastin fibers."	"bgee"	"ANN"	"2013-06-21"																																																																						
"OG:0001543"	"foramen rotundum"	"ok 1X"	"UBERON:0005446"	"foramen rotundum"		"HOM:0000007"	"PMID:1018003 ""Presley R, Steel FLD, On the homology of the alisphenoid. Journal of Anatomy (1976)"""	"ECO:0000060"	"positional similarity evidence"	"CIO:0000004"	"Medium confidence assertion"	40674	"Mammalia"	"It is suggested that the mammalian lamina ascendens arose from an upgrowth of the root of the quadrate ramus of the epipterygoid in cynodonts, separating foramen rotundum from foramen ovale."	"bgee"	"ANN"	"2013-06-21"																																																																						
"OG:0001408"	"optic foramen"	"issue, VHOG:0001408 mapped twice in Uberon, UBERON:0005745 optic canal and UBERON:0006269 optic foramen"	"UBERON:0005745"	"optic canal"		"HOM:0000007"	"PMID:3127652 ""Shoshani J, Mammalian phylogeny: comparison of morphological and molecular results. Molecular Biology and Evolution (1986) Table 3"""	"ECO:0000355"	"phylogenetic distribution evidence"	"CIO:0000003"	"High confidence assertion"	9347	"Eutheria"	"Optic foramen is a synapomorphic character in Eutheria. [curator]"	"bgee"	"ANN"	"2013-06-21"	"The optic foramen is the opening to the optic canal."																																																																					
"OG:0000655"	"choroid fissure - optic fissure"	"ok 1X"	"UBERON:0005412"	"optic fissure"		"HOM:0000007"	"DOI:10.1038/nrn2283 ""Lamb TD, Collin SP and Pugh EN, Evolution of the vertebrate eye: opsins, photoreceptors, retina and eye cup. Nature Reviews Neuroscience (2007)"""	"ECO:0000060"	"positional similarity evidence"	"CIO:0000004"	"Medium confidence assertion"	7742	"Vertebrata"	"The folded arrangement of the vertebrate retina and RPE [retinal pigment epithelial] provides an evolutionary explanation for the occurrence of the choroid fissure, as proposed more than a century ago. Early in evolution, before the optic cup invaginated, the axons from retinal ganglion cells would simply have run over the surface of the structure. Hence, one can view the optic nerve as having acted rather like a rope in linking the retina to higher centres: the developing eye cup has simply wrapped around this 'rope', and the developing axons have thereby not needed to penetrate the retina."	"bgee"	"ANN"	"2013-06-21"	"choroid fissure is related synonym to optic fissure, why related and not exact?"																																																																					
