HOM ID	HOM name	entity	entity name	taxon ID	taxon name	CIO ID	CIO name	supporting text
HOM:0000007	historical homology	CL:0000000	cell	2759	Eukaryota	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000015	male germ cell	33208	Metazoa	CIO:0000019	confidence statement from congruent evidence lines of same type, overall confidence medium	
HOM:0000007	historical homology	CL:0000021	female germ cell	33208	Metazoa	CIO:0000019	confidence statement from congruent evidence lines of same type, overall confidence medium	
HOM:0000007	historical homology	CL:0000037	hematopoietic stem cell	33208	Metazoa	CIO:0000013	confidence statement from congruent evidence lines of multiple types, overall confidence medium	
HOM:0000007	historical homology	CL:0000056	myoblast	33208	Metazoa	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000057	fibroblast	7742	Vertebrata	CIO:0000017	confidence statement from congruent evidence lines of same type, overall confidence high	
HOM:0000007	historical homology	CL:0000064	ciliated cell	7742	Vertebrata	CIO:0000013	confidence statement from congruent evidence lines of multiple types, overall confidence medium	
HOM:0000007	historical homology	CL:0000066	epithelial cell	33208	Metazoa	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0000084	T cell	7776	Gnathostomata	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0000100	motor neuron	33213	Bilateria	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0000148	melanocyte	7742	Vertebrata	CIO:0000012	confidence statement from congruent evidence lines of multiple types, overall confidence high	
HOM:0000007	historical homology	CL:0000178	Leydig cell	7742	Vertebrata	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000236	B cell	7776	Gnathostomata	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0000247	Rohon-Beard neuron	7711	Chordata	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000255	eukaryotic cell	2759	Eukaryota	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0000300	gamete	33208	Metazoa	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000342	pigment cell (sensu Vertebrata)	7742	Vertebrata	CIO:0000012	confidence statement from congruent evidence lines of multiple types, overall confidence high	
HOM:0000007	historical homology	CL:0000353	blastoderm cell	7742	Vertebrata	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0000362	epidermal cell	33208	Metazoa	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000365	zygote	33208	Metazoa	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0000408	male gamete	33208	Metazoa	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000540	neuron	6072	Eumetazoa	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0000542	lymphocyte	7742	Vertebrata	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000586	germ cell	33208	Metazoa	CIO:0000013	confidence statement from congruent evidence lines of multiple types, overall confidence medium	
HOM:0000007	historical homology	CL:0000623	natural killer cell	7742	Vertebrata	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000653	glomerular visceral epithelial cell	7742	Vertebrata	CIO:0000013	confidence statement from congruent evidence lines of multiple types, overall confidence medium	
HOM:0000007	historical homology	CL:0000653|CL:0002520	glomerular visceral epithelial cell|nephrocyte	33213	Bilateria	CIO:0000013	confidence statement from congruent evidence lines of multiple types, overall confidence medium	
HOM:0000007	historical homology	CL:0000670	primordial germ cell	89593	Craniata	CIO:0000025	confidence statement from weakly conflicting evidence lines of multiple types, overall confidence high	
HOM:0000007	historical homology	CL:0000675	female gamete	33208	Metazoa	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0000740|FBbt:00007251	retinal ganglion cell|rhabdomeric photoreceptor cell (Drosophila)	33213	Bilateria	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0002091	primary polar body	33208	Metazoa	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0002093	secondary polar body	33208	Metazoa	CIO:0000003	high confidence from single evidence	
HOM:0000007	historical homology	CL:0002238	male gonocyte	33208	Metazoa	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0002239	ooblast	33208	Metazoa	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	CL:0002520	nephrocyte	6960	Hexapoda	CIO:0000013	confidence statement from congruent evidence lines of multiple types, overall confidence medium	
HOM:0000007	historical homology	FBbt:00000123|UBERON:0000100	amnioproctodeal invagination (Drosophila)|blastopore	33213	Bilateria	CIO:0000004	medium confidence from single evidence	
HOM:0000007	historical homology	FBbt:00003632|UBERON:0010011	adult central complex (Drosophila)|collection of basal ganglia	33213	Bilateria	CIO:0000014	confidence statement from congruent evidence lines of multiple types, overall confidence low	
HOM:0000007	historical homology	UBERON:0000002	uterine cervix	40674	Mammalia	CIO:0000003	high confidence from single evidence	
