HOM ID	HOM name	entity	entity name	qualifier	taxon ID	taxon name	line type	ECO ID	ECO name	confidence code ID	confidence code name	reference	reference title	supporting text	assigned by	curator	date
HOM:0000007	historical homology	CL:0000000			2759	Eukaryota	RAW	ECO:0000033	traceable author statement	CONF:0000004	medium confidence assertion from single evidence	DOI:10.1073/pnas.032658599	Hartman H, Fedorov A, The origin of the eukaryotic cell: A genomic investigation. PNAS (2002)	We have collected a set of 347 proteins that are found in eukaryotic cells but have no significant homology to proteins in Archaea and Bacteria. We call these proteins eukaryotic signature proteins (ESPs). The dominant hypothesis for the formation of the eukaryotic cell is that it is a fusion of an archaeon with a bacterium. If this hypothesis is accepted then the three cellular domains, Eukarya, Archaea, and Bacteria, would collapse into two cellular domains. We have used the existence of this set of ESPs to test this hypothesis. The evidence of the ESPs implicates a third cell (chronocyte) in the formation of the eukaryotic cell. [...] The eukaryotic cell is not a simple fusion of an archaeon and bacterium. This statement is borne out by the existence of 347 ESPs. [...] We agree with Horiike et al. that the nucleus is an endosymbiont with inputs from Bacteria and Archaea. We disagree that the host cell came from the Bacteria. The host cell or chronocyte was not a prokaryotic cell but one that had a cytoskeleton composed of actin and tubulin and an extensive membrane system.	bgee	ANN	2013-06-21
HOM:0000007	historical homology	CL:0000015			33208	Metazoa	RAW	ECO:0000205	curator inference	CONF:0000004	medium confidence assertion from single evidence	DOI:10.1002/bies.950161213	Denis H, A parallel between development and evolution: Germ cell recruitment by the gonads. BioEssays (1994)	The basic assumption is that primitive Metazoa already had germ cells, but no gonads to harbour them.	bgee	ANN	2013-08-29
HOM:0000007	historical homology	CL:0000015			33208	Metazoa	RAW	ECO:0000205	curator inference	CONF:0000004	medium confidence assertion from single evidence	ISBN:978-0198566694	Schmidt-Rhaesa A, The evolution of organ systems (2007) p.249	Gametes must have been present already in the metazoan ancestor, because they are present in every metazoan taxon.	bgee	ANN	2013-08-29
HOM:0000007	historical homology	CL:0000015			33208	Metazoa	SUMMARY			CONF:0000019	congruent evidences of same experimental type, best confidence medium				Bgee		
HOM:0000007	historical homology	CL:0000021			33208	Metazoa	RAW	ECO:0000205	curator inference	CONF:0000004	medium confidence assertion from single evidence	DOI:10.1002/bies.950161213	Denis H, A parallel between development and evolution: Germ cell recruitment by the gonads. BioEssays (1994)	The basic assumption is that primitive Metazoa already had germ cells, but no gonads to harbour them.	bgee	ANN	2013-08-29
HOM:0000007	historical homology	CL:0000021			33208	Metazoa	RAW	ECO:0000205	curator inference	CONF:0000004	medium confidence assertion from single evidence	ISBN:978-0198566694	Schmidt-Rhaesa A, The evolution of organ systems (2007) p.249	Gametes must have been present already in the metazoan ancestor, because they are present in every metazoan taxon.	bgee	ANN	2013-08-29
HOM:0000007	historical homology	CL:0000021			33208	Metazoa	SUMMARY			CONF:0000019	congruent evidences of same experimental type, best confidence medium				Bgee		
HOM:0000007	historical homology	CL:0000057			7742	Vertebrata	RAW	ECO:0000034	non-traceable author statement	CONF:0000003	high confidence assertion from single evidence	ISBN:978-0072528305	Kardong KV, Vertebrates: Comparative Anatomy, Function, Evolution (2006) p.177	Fibroblast is the distinctive cell of the fibrous connective tissue, the most common connective tissue in vertebrates. [curator]	bgee	ANN	2013-07-17
HOM:0000007	historical homology	CL:0000057			7742	Vertebrata	RAW	ECO:0000034	non-traceable author statement	CONF:0000003	high confidence assertion from single evidence	PMID:20174584	Ingerslev HC, Ossum CG, Lindenstrom T, Nielsen ME, Fibroblasts express immune relevant genes and are important sentinel cells during tissue damage in rainbow trout (Oncorhynchus mykiss). PLoS One (2010)	this study provides new and important information about the role of fibroblasts in lower vertebrates in relation to inflammation, tissue damage and immune competence. (…) evolutionary fibroblasts are primitive cells, which have maintained the ability to express genes of immune functions, when stimulated.	bgee	ANN	2013-07-17
HOM:0000007	historical homology	CL:0000057			7742	Vertebrata	SUMMARY			CONF:0000017	congruent evidences of same experimental type, best confidence high				Bgee		
HOM:0000007	historical homology	CL:0000064			7742	Vertebrata	RAW	ECO:0000067	developmental similarity evidence	CONF:0000004	medium confidence assertion from single evidence	DOI:10.1016/S0070-2153(08)00806-5	Basu B, Brueckner M, Cilia multifunctional organelles at the center of vertebrate left-right asymetry. Current topics in developmental biology (2008)	Cilia establish the vertebrate left-right (LR) axis and are integral to the development and function of the kidney, liver, and brain. Left-right asymmetry is established in the ciliated ventral node cells of the mouse. The chiral structure of the cilium provides a reference asymmetry to impose handed LR asymmetric development on the bilaterally symmetric vertebrate embryo. A ciliary mechanism of LR development is evolutionarily conserved, as ciliated organs essential to LR axis formation, called LR organizers, are found in other vertebrates, including rabbit, fish, and Xenopus.	bgee	ANN	2013-07-03
HOM:0000007	historical homology	CL:0000064			7742	Vertebrata	RAW	ECO:issue22	phylogenetic distribution evidence	CONF:0000004	medium confidence assertion from single evidence	DOI:10.1016/S0070-2153(08)00806-5	Basu B, Brueckner M, Cilia multifunctional organelles at the center of vertebrate left-right asymetry. Current topics in developmental biology (2008)	Cilia establish the vertebrate left-right (LR) axis and are integral to the development and function of the kidney, liver, and brain. Left-right asymmetry is established in the ciliated ventral node cells of the mouse. The chiral structure of the cilium provides a reference asymmetry to impose handed LR asymmetric development on the bilaterally symmetric vertebrate embryo. A ciliary mechanism of LR development is evolutionarily conserved, as ciliated organs essential to LR axis formation, called LR organizers, are found in other vertebrates, including rabbit, fish, and Xenopus.	bgee	ANN	2013-07-03
HOM:0000007	historical homology	CL:0000064			7742	Vertebrata	SUMMARY			CONF:0000013	congruent evidences of multiple experimental types, best confidence medium				Bgee		
HOM:0000007	historical homology	CL:0000066			33208	Metazoa	RAW	ECO:0000034	non-traceable author statement	CONF:0000003	high confidence assertion from single evidence	ISBN:978-0030259821	Ruppert EE, Fox RS, Barnes RD, Invertebrate zoology: a functional evolutionary approach (2003) p.59	The two basic types of metazoan tissue are epithelial and connective. The simplest metazoans, and developmental stages of many primitive invertebrates, consist solely of these two layers. Thus, epithelial and connective tissues may be the primary (original) tissues of metazoans, and both are important in the functional organization of animals.	bgee	ANN	2013-08-23
HOM:0000007	historical homology	CL:0000084			7776	Gnathostomata	RAW	ECO:issue22	phylogenetic distribution evidence	CONF:0000003	high confidence assertion from single evidence	PMID:21046016	Dzik JM, The ancestry and cumulative evolution of immune reactions. Acta biochimica Polonica (2010)	The antibody-based immune system defined by the presence of the major histocompatibility complex (MHC), T cell receptor (TCR), B cell receptor (BCR) or recombination activating genes (RAGs) is known beginning from jawed fishes.	bgee	ANN	2013-07-01
HOM:0000007	historical homology	CL:0000100			33213	Bilateria	RAW	ECO:issue22	phylogenetic distribution evidence	CONF:0000003	high confidence assertion from single evidence	DOI:10.1038/nrg2416	Arendt D, The evolution of cell types in animals: emerging principles from molecular studies. Nature Reviews Genetics (2008)	Pioneering studies revealed the homology of somatic motor neurons between vertebrates, insects (Drosophila spp.) and nematodes (Caenorhabditis spp.).	bgee	ANN	2013-06-10
HOM:0000007	historical homology	CL:0000148			7742	Vertebrata	RAW	ECO:0000060	positional similarity evidence	CONF:0000003	high confidence assertion from single evidence	ISBN:978-0030223693	Liem KF, Bemis WE, Walker WF, Grande L, Functional Anatomy of the Vertebrates: An Evolutionary Perspective (2001) p.210	The skin of all vertebrates, except albinos, contains pigments of various types within cells collectively known as chromatophores. Chromatophores are of neural crest origin. They lie in the upper part of the dermis in fishes, amphibians, and reptiles, but they penetrate or are located in the epidermis in birds and mammals. When the pigment is a dark melanin, the cells are called melanophores.	bgee	ANN	2013-07-17
HOM:0000007	historical homology	CL:0000148			7742	Vertebrata	RAW	ECO:0000063	compositional similarity evidence	CONF:0000003	high confidence assertion from single evidence	ISBN:978-0030223693	Liem KF, Bemis WE, Walker WF, Grande L, Functional Anatomy of the Vertebrates: An Evolutionary Perspective (2001) p.210	The skin of all vertebrates, except albinos, contains pigments of various types within cells collectively known as chromatophores. Chromatophores are of neural crest origin. They lie in the upper part of the dermis in fishes, amphibians, and reptiles, but they penetrate or are located in the epidermis in birds and mammals. When the pigment is a dark melanin, the cells are called melanophores.	bgee	ANN	2013-07-17
HOM:0000007	historical homology	CL:0000148			7742	Vertebrata	SUMMARY			CONF:0000012	congruent evidences of multiple experimental types, best confidence high				Bgee		
HOM:0000007	historical homology	CL:0000178			7742	Vertebrata	RAW	ECO:0000067	developmental similarity evidence	CONF:0000004	medium confidence assertion from single evidence	PMID:17026980	Sekido R, Lovell-Badge R, Mechanisms of gonadal morphogenesis are not conserved between chick and mouse. Dev Biol (2007)	Despite the fact that different determinants trigger testis formation amongst vertebrates, the adult testis is very similar in morphology, cellular organisation and physiology. (...) Leydig cells are the steroidogenic cells present in the interstitium between the cords along with blood vessels and other miscellaneous connective tissue cells. (...)  it has been reported, using a similar DiI labelling and technique, that Sertoli cells originate from the coelomic epithelium in the turtle (Yao et al., 2004). From these data, it seemed likely that there would be a conserved cellular origin for Sertoli cells during vertebrate evolution. (...) Male-specific cell migration from the mesonephros has also recently demonstrated to occur when chicken gonads are co-cultured with quail mesonephros at stage 29 (as described by Hamburger and Hamilton, 1951), corresponding to just after 6 days of incubation (day 6). In this experiment, the quail mesonephric cells contribute to interstitial cells in the male chicken gonads although the identity of these cells remains unknown (Smith et al., 2005). The origin of Leydig cells has therefore remained uncertain in both mouse or chick.	bgee	ANN	2013-08-30
